,textname,word,tfidf_score
134,1907_Roosevelt,interstate commerce,0.2661726297925246
135,1886_Cleveland,fiscal year,0.266093681887471
136,1993_Clinton,let say,0.26582573871582016
137,1939_Roosevelt,act aggression,0.26571283264685536
138,1936_Roosevelt,good neighbor,0.2656139014550847
139,1940_Roosevelt,trade agreement,0.265163003088219
140,1838_Buren,public money,0.26499261365024074
141,1921_Harding,merchant marine,0.2646342380769866
142,1958_Eisenhower,ballistic missile,0.2641850849984152
143,1819_Monroe,minister united state,0.2638076685738187
144,1819_Monroe,minister united,0.2638076685738187
145,2013_Obama,middle class,0.26291758326286063
146,1827_Adams,january 1st,0.261573289921299
147,1921_Harding,executive branch government,0.2607776269841499
148,1936_Roosevelt,world affair,0.2602298928440162
149,1794_Washington,constitution united state,0.26013278042477456
150,1794_Washington,constitution united,0.26013278042477456
151,1859_Buchanan,fiscal year,0.25987282378741106
152,1856_Pierce,new granada,0.2586816763028607
153,1952_Truman,free nation,0.2585579289940083
154,1935_Roosevelt,recovery act,0.2584090846456993
155,2015_Obama,middle class,0.25766086499502905
156,1808_Jefferson,minister london,0.25754188560526386
157,1958_Eisenhower,economic aid,0.25729944712479796
158,1921_Harding,executive branch,0.25693764440719646
159,1939_Roosevelt,good faith,0.25676979165841246
160,1856_Pierce,northern state,0.2557882951807513
161,1840_Buren,federal government,0.2554641012291504
162,1908_Roosevelt,great corporation,0.2554426268200542
163,2004_Bush,health care,0.2548255866775895
164,1926_Coolidge,wage earner,0.25478578565797766
165,1940_Roosevelt,look ahead,0.25397390484044896
166,1978_Carter,human right,0.2538814844295704
167,1971_Nixon,open door,0.25307975453890746
168,1903_Roosevelt,isthmus panama,0.25280722773882913
169,1954_Eisenhower,federal government,0.252536204041768
170,1812_Madison,sea men,0.2523429574624194
171,1895_Cleveland,note treasury,0.2520689062807133
172,1947_Truman,collective bargaining,0.2516921248939953
173,1976_Ford,growth federal,0.2515678004985844
174,1935_Roosevelt,national resource,0.2515602545293045
175,1846_Polk,rio grande,0.2513849243922063
176,1990_Bush,one u,0.2512122116430283
177,1990_Bush,every one,0.2511798677487645
178,1977_Ford,long term,0.2506736367287449
179,2018_Trump,tax cut,0.2506060492410761
180,1855_Pierce,central america,0.2501129794439348
181,1980_Carter,middle east,0.24997020935633174
182,2000_Clinton,21st century,0.2499356164130598
183,1915_Wilson,twenty five,0.2488375446221669
184,1943_Roosevelt,world war,0.24881120454051367
185,1968_Johnson,shall recommend,0.24871816884159328
186,1915_Wilson,one hundred,0.2473465875452091
187,1922_Harding,per cent,0.245962589685469
188,1802_Jefferson,upward million,0.24499826703797536
189,1888_Cleveland,per cent,0.24435704355421323
190,1997_Clinton,21st century,0.24427676841006649
191,1979_Carter,soviet union,0.24397449686038744
192,1958_Eisenhower,long range,0.24378572703210855
193,1900_McKinley,philippine island,0.2430310578199254
194,1859_Buchanan,30th june,0.24295343005644643
195,1962_Kennedy,balance payment,0.24237765563835803
196,1945_Roosevelt,armed force,0.24235994947358871
197,1951_Truman,free world,0.2407735281142653
198,1951_Truman,north atlantic,0.24054438148583307
199,1997_Clinton,four year,0.23997308010363663
200,1980_Carter,persian gulf,0.23986317384159195
201,1917_Wilson,people world,0.23944532720635653
202,1883_Arthur,actual estimated,0.23899288117113404
203,1796_Washington,catholic majesty,0.23880442437734692
204,1806_Jefferson,private individual,0.23832524454748982
205,1814_Madison,major general,0.23795962727710082
206,1991_Bush,hard work,0.2375845854482115
207,1992_Bush,capital gain,0.23744808541216764
208,1922_Harding,working condition,0.23701448100281822
209,1977_Ford,third century,0.2368155020264568
210,1972_Nixon,let u,0.23679255045950395
211,1880_Hayes,civil service,0.2365762476462922
212,1795_Washington,course session,0.2357880066150296
213,1944_Roosevelt,win war,0.23577051287983886
214,1997_Clinton,balance budget,0.23552123777909795
215,1843_Tyler,treasury note,0.23542019013101323
216,1967_Johnson,let u,0.23512323299972193
217,1914_Wilson,great people,0.23479069548815332
218,1979_Carter,nuclear arm,0.23476179295207025
219,1941_Roosevelt,national policy,0.23437948929821792
220,1985_Reagan,tax rate,0.23408855777268797
221,1912_Taft,panama canal,0.2337143383309818
222,1806_Jefferson,sea port,0.23349437853539723
223,1797_Adams,gentleman house representative,0.23340990865433228
224,1797_Adams,gentleman house,0.23340990865433228
225,1814_Madison,thousand american,0.2331361723474905
226,1893_Cleveland,preceding year,0.23297740172651712
227,1892_Harrison,increase per,0.23291119043757186
228,1989_Bush,economic growth,0.2328510216948337
229,2000_Clinton,tax credit,0.23280502506308495
230,2010_Obama,recovery act,0.23274352905318396
231,1971_Nixon,full employment,0.2323511356005214
232,2005_Bush,social security benefit,0.23207169564076116
233,1946_Truman,million dollar fiscal,0.23173868074858794
234,1888_Cleveland,purchase bond,0.2317148204215453
235,1936_Roosevelt,national income,0.23125362508452638
236,1857_Buchanan,republic honduras,0.23110219971408355
237,1895_Cleveland,note treasury note,0.23106316409065386
238,1895_Cleveland,state note treasury,0.23106316409065386
239,1992_Bush,real estate,0.2310251283804559
240,1979_Carter,year must,0.2309054556131476
241,1807_Jefferson,armed vessel,0.23090168807229555
242,1958_Eisenhower,military strength,0.23085741811693417
243,2011_Obama,democrat republican,0.2304742555556924
244,1978_Carter,foreign policy,0.22999947711935884
245,1845_Polk,public money,0.2294998415952683
246,2002_Bush,homeland security,0.22939306558378433
247,2002_Bush,war terror,0.22939306558378433
248,1819_Monroe,government spain,0.22884048521381894
249,1798_Adams,gentleman house,0.22831005849111824
250,1798_Adams,gentleman house representative,0.22831005849111824
251,1976_Ford,state local,0.22798125834299618
252,1832_Jackson,general government,0.2279240380477852
253,1940_Roosevelt,must look,0.22789581620949564
254,1909_Taft,postal saving bank,0.22740498491454464
255,1867_Johnson,southern state,0.2273985296787515
256,2018_Trump,asking congress,0.2269175498491992
257,1982_Reagan,interest rate,0.22582682798499518
258,2005_Bush,security benefit,0.22579416964264798
259,1979_Carter,human right,0.22551693128606642
260,1814_Madison,private property,0.22451277004449463
261,1808_Jefferson,right interest,0.2242258192476151
262,1809_Madison,order council,0.22416317393435733
263,1941_Roosevelt,new order,0.22380689322028235
264,1951_Truman,defense effort,0.22379352341167377
265,1798_Adams,disposition part,0.2236822008595116
266,1924_Coolidge,cost government,0.22313131885100124
267,1815_Madison,peace establishment,0.22293801468089078
268,2009_Obama,every american,0.22291371199691573
269,1990_Bush,eastern europe,0.22282696496126558
270,1802_Jefferson,million principal,0.2221843372278356
271,1802_Jefferson,country men,0.2221843372278356
272,2015_Obama,make sure,0.22209950748105117
273,1914_Wilson,water power,0.22076070589175018
274,1887_Cleveland,purchase bond,0.22059906469367183
275,1967_Johnson,soviet union,0.2200640301799101
276,1848_Polk,new mexico,0.21937551268802294
277,1892_Harrison,value import,0.21933903911720065
278,1921_Harding,branch government,0.2192149986705138
279,1944_Roosevelt,soldier sailor,0.21888720357987368
280,1952_Truman,world war,0.21848466326677957
281,2004_Bush,law enforcement,0.2181886221067948
282,1969_Johnson,meet commitment,0.21796814456267696
283,1963_Kennedy,free world,0.21795929052905302
284,1963_Kennedy,cannot afford,0.21795929052905302
285,1968_Johnson,tax bill,0.2178869586901687
286,1838_Buren,court district,0.21784375243362442
287,1802_Jefferson,direct tax,0.2176806483082197
288,1894_Cleveland,per cent,0.21758070647627087
289,1882_Arthur,five twenty,0.2175022426258181
290,1934_Roosevelt,recovery act,0.21713488911169224
291,1953_Truman,world war,0.21712517886776433
292,1859_Buchanan,ending 30th june,0.21704220333651952
293,1799_Adams,commissioner appointed,0.21697689837746267
294,1893_Cleveland,fiscal year,0.2163398171164232
295,2016_Obama,new economy,0.21632670358087597
296,2016_Obama,climate change,0.21632670358087597
297,1803_Jefferson,new orleans,0.21598298287688256
298,1948_Truman,economic system,0.21585662247026138
299,1892_Harrison,increase per cent,0.2156584499464323
300,1978_Carter,rate inflation,0.2154926001852545
301,1992_Bush,plan would,0.21533721899813868
302,1930_Hoover,fiscal year,0.21501133303260628
